,Unnamed: 0,brand,guaranteed_authentic_brand,model_variant,core_model,price,negotiable_price,bezel_material,bezel_plated,case_material,case_plated,dial
2,2,tudor,False,Standard,Prince Oysterdate,1650.0,True,gold/steel,False,gold/steel,False,gold
5,5,tudor,False,Standard,Black Bay Chrono,11725.0,False,steel,False,steel,False,pink
7,7,tudor,False,Standard,Unknown/Other,1599.0,True,yellow gold,False,gold/steel,False,champagne
11,11,tudor,False,Standard,Black Bay Chrono,8995.0,True,steel,False,steel,False,pink
12,12,tudor,False,Standard,Black Bay GMT,4599.0,False,steel,False,steel,False,black
17,17,tudor,False,Standard,Black Bay Chrono,13225.0,False,steel,False,steel,False,turquoise
27,27,tudor,False,Standard,Black Bay Steel,2988.0,False,steel,False,steel,False,black
29,29,tudor,False,Standard,Black Bay GMT,5225.0,False,steel,False,steel,False,black
32,32,tudor,False,Standard,Unknown/Other,5075.0,False,aluminum,False,steel,False,black
33,33,tudor,False,Standard,Unknown/Other,985.0,True,steel,False,steel,False,blue
34,34,tudor,False,Standard,Black Bay 54,6625.0,True,steel,False,steel,False,blue
38,38,tudor,False,Standard,Unknown/Other,3190.0,True,aluminum,False,silver,False,grey
39,39,tudor,False,Standard,Black Bay Pro,2950.0,False,rose gold,False,steel,False,black
42,42,tudor,False,Standard,Unknown/Other,4875.0,False,aluminum,False,steel,False,bordeaux
43,43,tudor,False,Standard,Black Bay Fifty-Eight,3350.0,False,steel,False,steel,False,black
46,46,tudor,False,Standard,Black Bay 36,3500.0,True,steel,False,steel,False,grey
47,47,tudor,False,Standard,Unknown/Other,2890.0,True,aluminum,False,steel,False,black
48,48,tudor,False,Standard,Black Bay 41,3250.0,True,steel,False,steel,False,grey
50,50,tudor,False,Standard,Black Bay 54,5671.0,False,steel,False,steel,False,blue
54,54,tudor,False,Standard,Black Bay Fifty-Eight,3995.0,True,steel,False,steel,False,black
55,55,tudor,False,Standard,Black Bay Chrono,9699.0,False,steel,False,steel,False,pink
56,56,tudor,False,Standard,Grantour Date,2290.0,True,aluminum,False,steel,False,silver
57,57,tudor,False,Standard,Black Bay Steel,3950.0,True,steel,False,steel,False,blue
60,60,tudor,False,Standard,Black Bay Fifty-Eight,4500.0,True,aluminum,False,steel,False,blue
