,negotiable_price,price,guaranteed_authentic_brand,brand,case_plated,case_material,bezel_plated,bezel_material,bracelet_plated,bracelet_material,clasp_plated,clasp_material,dial,core_model,model_variant,year_of_production,is_year_of_production_estimate,age_in_years_2026,original_box,original_papers,movement,clasp,number_of_jewels
0,True,1800,False,tudor,False,steel,False,,False,steel,False,,silver,Ranger,Standard,1980,True,46,0.0,1.0,automatic,,
1,True,3300,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay Fifty-Eight,Standard,2021,False,5,1.0,1.0,automatic,,
2,True,1650,False,tudor,False,gold/steel,False,gold/steel,False,gold/steel,False,steel,gold,Prince Oysterdate,Standard,1985,True,41,0.0,1.0,automatic,fold clasp,
3,True,2850,False,tudor,False,steel,False,,False,,False,,black,Unknown/Other,Standard,2015,True,11,0.0,1.0,automatic,,
4,True,9490,False,tudor,False,steel,False,steel,False,steel,False,steel,pink,,,2025,False,1,1.0,1.0,automatic,fold clasp,41
5,False,11725,False,tudor,False,steel,False,steel,False,steel,False,steel,pink,Black Bay Chrono,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,
6,True,4895,False,tudor,False,titanium,False,,False,titanium,False,,black,Pelagos Ultra,Standard,2025,False,1,1.0,1.0,automatic,,
7,True,1599,False,tudor,False,gold/steel,False,yellow gold,False,gold/steel,False,,champagne,Unknown/Other,Standard,,False,,1.0,1.0,automatic,,
8,True,3222,False,tudor,False,steel,False,,False,steel,False,,black,Unknown/Other,Standard,2021,False,5,1.0,1.0,automatic,,
9,True,2495,False,tudor,False,steel,False,,False,steel,False,,white,Prince Date Day,Standard,,False,,0.0,1.0,automatic,,
10,True,2900,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay Pro,Standard,2022,False,4,1.0,1.0,automatic,,
11,True,8995,False,tudor,False,steel,False,steel,False,steel,False,steel,pink,Black Bay Chrono,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,41
12,False,4599,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay GMT,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,27
13,True,4250,False,tudor,False,titanium,False,,False,titanium,False,,black,Pelagos,Standard,2023,False,3,1.0,1.0,automatic,,
14,True,6850,False,tudor,False,steel,False,,False,steel,False,,black,Submariner,Standard,1993,True,33,0.0,1.0,automatic,,
15,True,2500,False,tudor,False,steel,False,,False,steel,False,,black,Ranger,Standard,2023,True,3,1.0,1.0,automatic,,
16,False,2989,False,tudor,False,steel,False,,False,steel,False,steel,black,Unknown/Other,Standard,2019,False,7,1.0,1.0,automatic,fold clasp,
17,False,13225,False,tudor,False,steel,False,steel,False,steel,False,steel,turquoise,Black Bay Chrono,Standard,2025,False,1,1.0,1.0,automatic,,
18,True,2597,False,tudor,False,steel,False,,False,steel,False,,black,Ranger,Standard,,False,,1.0,1.0,automatic,,
19,True,4000,False,tudor,False,steel,False,,False,steel,False,steel,white,Black Bay Chrono,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,
20,True,2982,False,tudor,False,bronze,False,,False,leather,False,,brown,Unknown/Other,Standard,2016,True,10,1.0,1.0,automatic,,
21,True,3150,False,tudor,False,steel,False,,False,steel,False,,grey,Unknown/Other,Standard,2024,False,2,1.0,1.0,automatic,,
22,True,3800,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay 54,Standard,2024,False,2,1.0,1.0,automatic,,
23,True,2200,False,tudor,False,steel,False,,False,gold/steel,False,,white,1926,Standard,,False,,0.0,1.0,automatic,,
24,True,827,False,tudor,False,steel,False,,False,steel,False,,grey,Prince Oysterdate,Standard,,False,,0.0,1.0,automatic,fold clasp,
25,True,4699,False,tudor,False,,False,,False,steel,False,,,Black Bay 54,Standard,2025,False,1,1.0,1.0,automatic,,
26,True,4100,False,tudor,False,steel,False,,False,textile,False,,black,Black Bay GMT,Standard,2016,False,10,1.0,1.0,automatic,,
27,False,2988,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay Steel,Standard,,False,,1.0,1.0,automatic,fold clasp,26
28,True,4550,False,tudor,False,steel,False,,False,steel,False,,black,Submariner,Standard,1992,True,34,1.0,1.0,automatic,,
29,False,5225,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay GMT,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,
30,True,4395,False,tudor,False,steel,False,,False,steel,False,,red,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,,
