Brand,Model,Reference number,Movement,Case material,Bracelet material,Year of production,Scope of delivery,Gender,Location,Price,Availability,Caliber/movement,Base caliber,Power reserve,Number of jewels,Case diameter,Water resistance,Bezel material,Crystal,Dial,Dial numerals,Bracelet color,Clasp,Clasp material,url
Rolex,Submariner (No Date),124060,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Holt","$14,137",Item is in stock,3230,3130,70 h,31,41 x 40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner--id44616935.htm
Rolex,2025 Rolex Daytona - Black Dial,126500ln,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$31,500",Item is in stock,Calibre 4131,4131,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/daytona--id41862894.htm
Rolex,Day-Date 40,228235,Automatic,Rose gold,Rose gold,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, Illinois, ROMEOVILLE","$52,499 [Negotiable]",Item is in stock,3255,"3255, Manufacture Rolex",70 h,31,40 mm,10 ATM,Rose gold,Sapphire crystal,Green,Roman numerals,Gold,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-day-date-40--id45188467.htm
Rolex,GMT-Master II,126710GRNR (Bruce Wayne),Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$19,855",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-2024-gmt-master-ii-bruce-wayne-40mm-126710grnr-oyster--id44617363.htm
Rolex,GMT-Master II,126710BLRO,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Illinois, Springfield",Price on request,Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii-pepsi-stainless-steel-jubilee-2024--id37505092.htm
Rolex,Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2021 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$25,425",Item is in stock,4130,,72 h,44,40 mm,10 ATM,Yellow gold,Sapphire crystal,Black,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-new-daytona-116503-black-index-dial-two-tone-yellow-gold-stainless-steel--id11902212.htm
Rolex,GMT-Master II,116710LN (GMT-Master II black bezel),Automatic,Steel,Steel,2017,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$14,800",Item is in stock,3186,Rolex 3186,48 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/gmt-master-ii-black-dial-116710ln-complete-set--id35733142.htm
Rolex,GMT-Master II,116710LN (GMT-Master II black bezel),Automatic,Steel,Steel,2014,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$13,295",Item is in stock,3186,Rolex 3186,48 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii--id44718661.htm
Rolex,Daytona,,Automatic,Steel,Steel,2019,"Original box, original papers",Men's watch/Unisex,"United States of America, Kansas, Prairie Village","$94,997",Item is in stock,Rolex 4130 Automatic,,,,40 mm,,Ceramic,Sapphire crystal,Skeletonized,,Steel,Double-fold clasp,Steel,https://www.chrono24.com/rolex/rolex-daytona-artisans-de-geneve-limited-edition--id44853253.htm
Rolex,Datejust 41,126334 (Datejust Diamonds),Automatic,White gold,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Holt","$15,680",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/datejust-41--id44390191.htm
Rolex,Rolex Daytona - Black Dial,126500ln,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$32,500",Item is in stock,Calibre 4131,4131,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/daytona--id41868217.htm
Rolex,Oyster Perpetual 36,126000,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$9,925 [Negotiable]",Item needs to be procured,3230,,70 h,31,36 mm,10 ATM,Steel,Sapphire crystal,Silver,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/oyster-perpetual-36mm-silver-dial-126000-unworn-2024--id17145508.htm
Rolex,Sky-Dweller,326934,Automatic,Steel,Steel,2018,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$17,375",Item is in stock,9001,3135,72 h,40,42 mm,10 ATM,White gold,Sapphire crystal,Blue,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-2018-sky-dweller-42mm-326934-stainless-steel-oyster-white-dial--id43761216.htm
Rolex,Submariner Date,126610lv,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Illinois, Springfield","$16,400",Item is in stock,3235,cal. 3135,70 h,31,41 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner-date-starbucks-stainless-steel-2024--id37505002.htm
Rolex,Oyster Perpetual Date,1500 (Oyster Perpetual Vintage),Automatic,Steel,Steel,1970,"Original box, no original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$3,995",Item is in stock,1570,cal. 3035,48 h,26,34 mm,10 ATM,Steel,Plexiglass,Silver,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-very-good-condition-1970-oyster-perpetual-date-silver-index-dial-1500--id45174227.htm
Rolex,Submariner Date,126610lv,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$15,700 [Negotiable]",Item is in stock,3235,cal. 3135,70 h,31,41 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner-date-starbucks-green-bezel-126610lv--id43339044.htm
